processing,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,stress,qseis2025,qssp2020,300.0,nn,Pa,0.0,400.0,0.25,1601,5.822823479618278,0.003390527327479391,0.9983654376137917,951.2780499556236,954.7381506878542,0.9963758641783219,52.42019674893146,4.13274948458566
raw,stress,qseis2025,qssp2020,300.0,nu,Pa,0.0,400.0,0.25,1601,6.298288338840166,0.003966843599917003,0.9980231181260456,555.0118595022067,558.9490498717475,0.9929560836172022,39.97946544224304,2.21233513336135
raw,stress,qseis2025,qssp2020,300.0,uu,Pa,0.0,400.0,0.25,1601,7.964032649155593,0.006342581603681626,0.997141899199317,1169.6760506759852,1179.9253083888177,0.9913136385498605,76.01213551061767,5.066295442715374
raw,stress,qseis2025,qssp2020,300.0,all_components,Pa,0.0,400.0,0.25,1601,6.7419234454309125,0.0045453531744051034,0.9978350472697612,1169.6760506759852,1179.9253083888177,0.9913136385498605,76.01213551061767,3.067903892080785
raw,stress,qseis2025,qssp2020,600.0,ee,Pa,0.0,400.0,0.25,1601,10.379213335765177,0.01077280694693257,0.994660189410324,243.141657562242,241.23277720871982,1.0079130223330743,21.178010845999864,2.0287849673139364
raw,stress,qseis2025,qssp2020,600.0,en,Pa,0.0,400.0,0.25,1601,11.765069606958841,0.013841686285658664,0.9931766911739612,152.9788845501589,150.35694694722406,1.0174380875388163,16.598030778652486,1.7721142104260672
raw,stress,qseis2025,qssp2020,600.0,eu,Pa,0.0,400.0,0.25,1601,12.82232469514958,0.01644120105878428,0.9919094398518037,129.7471332568569,121.03830202423323,1.071951036052043,16.62880195676273,0.9808103324582493
raw,stress,qseis2025,qssp2020,600.0,nn,Pa,0.0,400.0,0.25,1601,10.36102339596281,0.010735080581168873,0.9947732443944237,529.9476946420376,534.5798472198962,0.9913349659513947,61.38233808316011,4.6072211246073955
raw,stress,qseis2025,qssp2020,600.0,nu,Pa,0.0,400.0,0.25,1601,11.95110247026687,0.014282885025481888,0.9929148817220893,315.6853532015373,325.94169835699614,0.9685331910364371,46.189094672535944,2.5088814262937107
raw,stress,qseis2025,qssp2020,600.0,uu,Pa,0.0,400.0,0.25,1601,14.973952883190572,0.022421926494801125,0.9899583107336497,434.42486215915324,448.83067789128705,0.9679036740540647,59.74459521709039,4.615584365976814
