processing,view,quantity,backend,reference,distance_km,component,unit,time_start_s,time_end_s,dt_s,samples_per_component,relative_l2_percent,paper_energy_misfit,correlation_pearson_no_shift,peak_abs,reference_peak_abs,peak_ratio,max_abs_difference,rms_difference
raw,full,disp,qseis2025_gaussian,qseis2025_point,900.0,North,m,0.0,400.0,0.25,1601,18.718280427577383,0.035037402216542654,0.9924784545511752,8.376282163829263e-06,9.270183824778239e-06,0.9035723910285716,2.5896775339437113e-06,2.6597476393745547e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,900.0,Up,m,0.0,400.0,0.25,1601,28.09592368003923,0.07893809274345893,0.9716513217982168,2.2881472943250995e-05,2.7493010211385146e-05,0.8322651018321572,1.2761572482716084e-05,9.741954092335417e-07
raw,full,disp,qseis2025_gaussian,qseis2025_point,900.0,all_components,m,0.0,400.0,0.25,1601,27.242136774806035,0.07421340160572394,0.9737735451690233,2.2881472943250995e-05,2.7493010211385146e-05,0.8322651018321572,1.2761572482716084e-05,5.993780564312324e-07
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,300.0,East,m,75.0,115.0,0.25,161,0.0,0.0,1.0,1.7981979926381297e-05,1.7981979926381297e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,300.0,North,m,75.0,115.0,0.25,161,0.0,0.0,1.0,2.604519990655234e-05,2.604519990655234e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,300.0,Up,m,75.0,115.0,0.25,161,0.0,0.0,1.0,5.720046949614035e-05,5.720046949614035e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,300.0,all_components,m,75.0,115.0,0.25,161,0.0,0.0,1.0,5.720046949614035e-05,5.720046949614035e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,600.0,East,m,155.0,220.0,0.25,261,0.0,0.0,1.0,5.787121359310811e-06,5.787121359310811e-06,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,600.0,North,m,155.0,220.0,0.25,261,0.0,0.0,1.0,1.0885500280590382e-05,1.0885500280590382e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,600.0,Up,m,155.0,220.0,0.25,261,0.0,0.0,1.0,3.061781318699873e-05,3.061781318699873e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,600.0,all_components,m,155.0,220.0,0.25,261,0.0,0.0,0.9999999999999999,3.061781318699873e-05,3.061781318699873e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,900.0,East,m,240.0,310.0,0.25,281,0.0,0.0,1.0,4.154264157313244e-06,4.154264157313244e-06,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,900.0,North,m,240.0,310.0,0.25,281,0.0,0.0,1.0,8.376282163829263e-06,8.376282163829263e-06,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,900.0,Up,m,240.0,310.0,0.25,281,0.0,0.0,1.0,2.2881472943250995e-05,2.2881472943250995e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_stock,qseis2025_gaussian,900.0,all_components,m,240.0,310.0,0.25,281,0.0,0.0,1.0,2.2881472943250995e-05,2.2881472943250995e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_point,qseis2025_point,300.0,East,m,75.0,115.0,0.25,161,0.0,0.0,1.0,2.6599969954823563e-05,2.6599969954823563e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_point,qseis2025_point,300.0,North,m,75.0,115.0,0.25,161,0.0,0.0,0.9999999999999999,3.0968935526309956e-05,3.0968935526309956e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_point,qseis2025_point,300.0,Up,m,75.0,115.0,0.25,161,0.0,0.0,1.0,9.138583614816313e-05,9.138583614816313e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_point,qseis2025_point,300.0,all_components,m,75.0,115.0,0.25,161,0.0,0.0,1.0,9.138583614816313e-05,9.138583614816313e-05,1.0,0.0,0.0
raw,zoom,disp,qseis06_point,qseis2025_point,600.0,East,m,155.0,220.0,0.25,261,0.0,0.0,0.9999999999999999,6.513919890251941e-06,6.513919890251941e-06,1.0,0.0,0.0
raw,zoom,disp,qseis06_point,qseis2025_point,600.0,North,m,155.0,220.0,0.25,261,0.0,0.0,1.0,1.3376820495983014e-05,1.3376820495983014e-05,1.0,0.0,0.0
